71.0, 30.5, 6312750, 3073500
71.31, 30.06, 8346750, 1696800
73.5, 29.69, 8543250, 1893500
73.69, 31.12, 7704000, 2268100
72.81, 31.88, 5646750, 2434300
72.63, 31.0, 6329250, 2955100
71.19, 29.75, 6064500, 2502400
72.44, 29.62, 7302000, 2341700
74.0, 29.94, 5359500, 3969400
73.94, 27.0, 5115000, 8678900
73.19, 26.38, 6412500, 8351500
74.75, 26.06, 6810000, 7345600
74.78, 26.5, 4981500, 5063200
76.88, 26.25, 7576500, 6574600
77.31, 27.5, 11380500, 5908800
75.38, 26.94, 7682250, 3731400
76.75, 27.19, 5580000, 3708400
75.94, 27.19, 4268250, 2626200
58.88, 26.69, 5775750, 4013100
58.0, 26.44, 7678000, 7237200
58.0, 26.06, 7354000, 4105600
58.39, 23.19, 7680000, 22148900
57.5, 24.62, 7151000, 6358400
57.56, 25.0, 6900000, 3843500
54.92, 25.06, 28709000, 3672300
54.75, 24.81, 21540000, 4028200
56.5, 24.88, 17091000, 6596600
56.75, 26.38, 9846000, 6363000
56.5, 26.81, 8970000, 5918800
55.75, 26.5, 9542000, 6719000
56.22, 28.0, 10529000, 4707000
55.06, 27.06, 13478000, 4758900
53.5, 26.25, 10174000, 4283100
54.25, 25.69, 9893000, 2655200
53.19, 25.75, 10333000, 3519800
51.5, 25.5, 11860000, 5901700
52.75, 26.44, 13398000, 5156800
54.13, 25.88, 9607000, 4781500
53.5, 24.95, 9365000, 5204100
51.13, 24.81, 10362000, 6154100
53.44, 25.25, 12090000, 4655700
54.06, 25.62, 12126000, 4242100
55.38, 25.0, 11126000, 4712900
56.88, 25.12, 14592000, 5478000
54.75, 25.5, 13981000, 5295600
56.13, 25.94, 11471000, 4096700
53.5, 24.38, 14712000, 4069300
52.63, 24.5, 6300000, 2969500
51.0, 24.06, 17126000, 1991900
49.5, 23.38, 22509000, 2873400
46.75, 22.75, 28533000, 6327400
49.81, 24.06, 15769000, 4346700
50.81, 24.38, 12135000, 4390800
49.38, 23.69, 15236000, 4745300
49.56, 24.0, 21000000, 6197600
51.31, 25.94, 11509000, 6143400
50.94, 25.12, 10324000, 3659800
50.44, 24.75, 8217000, 2587700
51.69, 24.81, 10438000, 4792400
50.63, 24.25, 10734000, 3852200
49.0, 24.25, 15089000, 3009100
50.25, 24.44, 13031000, 3695600
51.56, 25.5, 9286000, 3621100
52.63, 27.62, 11233000, 6520300
51.69, 27.56, 11943000, 4808900
53.06, 28.38, 12282000, 6288300
53.94, 27.5, 9779000, 3612100
54.88, 27.56, 10124000, 3762800
54.75, 28.38, 7093000, 2869400
53.06, 30.12, 11051000, 6067900
52.69, 27.38, 12957000, 7446700
51.5, 25.94, 9724000, 3964600
50.5, 26.19, 14197000, 4000500
50.75, 28.19, 11081000, 6907700
50.19, 28.88, 12401000, 4181200
51.69, 28.94, 9910000, 2000100
51.11, 29.38, 12104000, 2323900
49.38, 28.69, 11316000, 1916800
49.13, 28.88, 18458000, 3197500
47.06, 29.12, 13675000, 1923300
47.31, 28.44, 4936000, 1501600
47.44, 29.0, 11120000, 5662800
